id,tweet,sarcastic,rephrase,dialect
1432,٧ بعض الحضور في المنتدى من المصريين المؤيدين لجماعة الإخوان هاجمني وانتقد آرائي، ولكن دون تطاول أو عنف لفظية,0,,msa
1433,فى لفتة جميلة من د عبد المنعم ابو الفتوح قام بالأمس بزيارة مفاجئه للمتطوعين فى مقر الحملة بشارع رمسيس,0,,msa
1434,  الولايات المتحدة 🇺🇸 عاجل |  ترامب يختار الجنرال المتقاعد جيمس ماتيس وزيرا للدفاع ,0,,msa
1435, يارب عونك ونصرك ورحمتك قبل كل شيء لسكان حلب ،، يارب ارحم ضعف صغيرهم وشيبة كبيرهم وفجع الثكالى والمقهورين 🙏 ,0,,msa
1436,شكرا على مشاعرك الطيبة,0,,msa
1437, فنجان قهوه+ ايس كاب+هاند فري+صوت مروان خوري+ماجد المهندس+رامي عياش+سريرك+بطانيتك+كلسونك 😂😂اللهم ارزقنا الخير بعدد قطرات المطر❤ ,0,,egypt
1438, يسألنيوش رايك كيري جاء للسعودية مُهرولا؟أجبتهما فعلته دول مجلس التعاون في قمة البحرينكان ضربة معلمإعلان التحالف مع بريطانيا أيقظ أمريكا ,0,,gulf
1439, مدارسنا مختلطه من الابتدائي للحين  ماذا لو المدارس مختلطه ,0,,gulf
1440, نجران: إطلاق صلية صواريخ على تجمعات لـ  الجيش السعودي وآلياته في موقع الهرم محققة إصابات مباشرة  لبنان الآن ,0,,msa
1441,  عادل اماممن اخر حلقة في مسلسل مأمون و انا حاسس انك هتموت السنادي ,0,,egypt
1442, كلمة بوتن ولمس كانت قوية وفيها تحدي كبير للغرب بخصوص ليبيا قال حرفيا( سنتصدى للارهاب المصنوع في كل العالم ولن نسمح بتدمير ما تبقى من ليبيا ) ,0,,msa
1443,نهنئ الدكتور عبد المنعم أبو الفتوح بتأسيس حزب  مصر القوية ، وندعو له بالتوفيق وبأن يكون هذا الحزب خطوة نحو بناء,0,,egypt
1444,قرار كويس وهايل و مستنيينه من زمانلكن  السادة المحترمون,0,,egypt
1445,  لافروف : سنستمر في تقديم المساعدات اللازمة للحكومة السورية لتأمين المعابر في  حلب. ,0,,msa
1446,مصر القوية |11-حذرنا من خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية لا تفهم سياسة ولا تعي معنى الدولة ومهامها وحدودها خارج فكرة حمل السلاح,0,,msa
1447, معركة حلب لا شك بأنها المعركة الأقسى والأهم في كل  المعارك التي اندلعت في إطار الحرب التي يشنها العدوان الفاجر  على  سوريا ستبقي حلب ,0,,msa
1448,استشهاد جنود مصريين على الحدود بنيران صهيونية جريمة غير مقبولة دماء هؤلاء الشهداء تستدعى موقفا جادا حفاظا على كرامتنا وصيانة لحدودنا,0,,msa
1449, مؤلم أن ترى العدو يفتك في  اليمن و  سوريا و  العراق ثم يستحي أئمتنا من قنوت النوازل أو المطالبة به !الدعاء أساس العدّة . ,0,,msa
1450,  أبو الفتوح أعمل مع مجموعة رائعة من شباب الثورة وأقول لهم أحب ان تقودوني للعمل وأن نعمل كفريق ومن يجرح فين,0,,msa
1451,جبران تويني ١٥ سبتمبر ١٩٥٧ - ١٢ ديسمبر ٢٠٠٥ . الله يرحمك,0,,msa
1452,يجب ووقف فورى للعنف ومحاكمة المتورطين فيه علناً,0,,msa
1453,  عاجل|  ليبيا.. اصوات اطلاق نار كثيف في مناطق المشروع - ابوسليم - صلاح الدين - في  طرابلس. ,0,,msa
1454, في علاج العنف لاتكفي الحلول الأمنية لابد من حلول  لأزمة الفكر العربي والغربي على السواء  الكرك   هجوم الكرك   روسيا تقضي على حلب  امريكا ,0,,msa
1455,كوبر يطلب تقريرا عن  احمد الشيخ  قبل إعلان قائمة أمم افريقيا 2017,0,,msa
1456,هيئة مستشارى قضايا الدولة ترفض تعديلات الدستور مؤكدة انه يفتح الباب للفساد وشهد شاهد من اهلها,0,,msa
1457,انا لست روميو ?يرونا اقف مشدوها عاجزا و انت تطلين علي من شرفة،انا أحبك و لن اذهب،انا أحبك و سأمد يدي اتلمسك لنبقى فلقد خلقنا لأحبك  مصر,0,,msa
1458,  عفاش ينتصر على مؤامرة شق الصف برعاية  كيري بموافقته على الاتفاق بين انصار الله و السعوديه،بعد الموافقه تنصل كيري والسعوديه من الاتفاق ,0,,msa
1459,رجل تقتل ابنته ويسجن هو ورفاق دربه ثم يبتسم يوم القبض عليه انه الحق اصحابه دائمأ مطمئنون …,0,,msa
1460, قسيس يرفع الأذان في  فلسطین  القدس تحديا للاحتلال الصهيوني. هذه هي فلسطين واهلها ,0,,msa
1461,  لافروف: هيئة المفاوضات السورية ترفض تنفيذ قرارات مجلس الأمن ,0,,msa
1462, هنا في مدينة تصمد..تبدأ من جديد دائمآ .. تنزف وجعآ وتبتسم.. قتلونها وتحيا..يهدمونها وتبنى..عيش أنافي مدينة لا تعرف الإستسلام بنغازي ,0,,magreb
1463, مسيرة جبران تويني مستمرة مع النهار في انارة كل خطوة على طريق تحقيق السيادة والحرية والاستقلال دفاعاً عن لبنان العظيم ,0,,msa
1464,شكرا لدعمك,0,,egypt
1465, حظوظ المرشح الرئاسي الامريكي عن الحزب الجمهوري دونالد ترامب تتقدم على مرشحة الحزب الديموقراطي هيلاري كلنتون بعد مناظرة البارحة ، والآتي اعظم ,0,,msa
1466,يارب اجعلها لليلةة فرح لعشاق العالمي بالتوفيق ي نصرنا  النصر الشباب,0,,msa
1467,اللهم ارزقنا نعيم الجنه آمين,0,,msa
1468,المرأه شريك أساسي في مشروعنا للوطن يكفي ما تعرضت له من تمييز وإقصاء بسبب موروثات إجتماعية سيئة وفهم خاطئ للإسلام,0,,msa
1469,  جهزوا سواعدكم اتى عهد التغيير ، اتى  بيّ التحرير : فخامة الرئييس  الجنرال ميشال عون  ,0,,msa
1470, عندي وحده تشبه هاري بوتر يا انها كيوتيه😨!😭💗 ,0,,egypt
1471, إبراهيم محلب يعلن افتتاح خط طيران  القاهرة -  إنجامينا عاصمة تشاد أول أغسطسويكلف وزير الطيران باتخاذ الإجراءات,0,,msa
1472, كثيرة هى المتاجرات  .....لكن المتاجرة بدم شخص واتهام ناس بيه هكذا ...تدل على قذورات اﻹخوان والمقاتلة ... طرابلس بنغازي ليبيا ,0,,msa
1473, سلام رامي . أنا كنزا من الجزائر راسلتك كدا مرة لكنك ما رديتش عليا فادا كنت رامي عياش الحقيقي رد عليا و لو بكلمة أرجوك . ,0,,msa
1474,فخور أني مصري اولا و اخيرا,0,,egypt
1475,  ستولتنبرغ| سنعمل مع الرئيس الأمريكي المنتخب  ترمب لتطوير حلف  الناتو مباشر  تركيا ,0,,msa
1476,ابتسم في وجه الناس فإنها صدقة,0,,msa
1477,نهنئ إخواننا الأقباط باختيار الأنبا تواضروس بابا الأسكندرية وبطريرك الكرازة المرقسية بناء وطننا يحتاجنا جميعاً معا نبني مصر,0,,egypt
1478,أصدقائى لاتنظروا للوراء وإنسوا التجربة الاخوانية بما لها وعليها لنبدأ مرحلة جديدة لمصر بيد واحدة نبنى ونعمر والكل يشارك,0,,msa
1479,   استهداف النازحين بحلب .. جريمة حرب على مرأى ومسمع الجميع، متى يتحرك ضمير  العالم تجاه مأساة  السوريين ؟!! أنقذوا حلب سوريا ,0,,msa
1480,على فكرة الخطاب ماكانش طائفيو هو بيتكلم عن الاخوان كجماعة سياسية تستخدم الدين على حد قوله في لاغراضها،الطائفية لما يهاجم دين,0,,egypt
1481,  الكرملين: الرئيس الروسي بوتن تحادث مع الرئيس الإيراني روحاني وبحثا الملف السوري  لبنان الآن ,0,,msa
1482,اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية حتى لو كانت مارلين مونرو!  فيفي عبده الام المثالية,0,,msa
1483,الدنيا مش ابيض يااسود دنيا كل الالوان حط لوني على لونك نوصل ابعد مكان كل حلم وله بداية بس شرط تكون معايا  كاريوكى,0,,egypt
1484,فالانتقاص من صلاحيات البرلمان المنتخب واعطاء صلاحيات تشريعية لمجلس استشاري معين هما أمران ينبغي على كل مؤمن بالديمقراطية أن يرفضهما,0,,msa
1485, سليمان خاطر بطل,0,,egypt
1486, السيدات حجّه وعائشه ومريم بنات أحمد الشيخ من النساء اللواتي يمثلن المرأه الرشيديّه الأصيله الفاضله والكريمه فلهن كل معزه وتقدير بقلمي ,0,,msa
1487, قالت لنا العصفورة : في أول زيارة خارجية له منذ تسلمه منصب رئيس الجمهورية في لبنان الرئيس ميشال عون الى دمشق قريباً للقاء الأسد ,0,,msa
1488,  كيري يعلن تجديد الهدنة ويطالب كل الأطراف الالتزام بوقف الأعمال القتالية و  السعودية ومرتزقتها يعلنون إستئناف العمليات ..!! ,0,,msa
1489,طال  غيابك عني  ليه ؟؟ معقول  نسيتني و لا  ايه !!,0,,gulf
1490,وفشلت  ثورة الانترنت زي ما فشلت ثورات كتير,0,,egypt
1491,  حلب تحرق حضارة  روسيا  الصين  أمريكا  أوروبا يتشدقون بحقوق الإنسان من ببنودها  أخراج المسلمين واستباحت دمائهم أعراضهم دورهم ديارهم (وأعدوا) ,0,,msa
1492, العهد الجديد في ظل فخامة الرئيس ميشال عون سيشهد مشاركة كافة المواطنين لحقوقهم وواجباتهم وعدم تهميش اي شريحة ولا سيما ابناء بعلبك الهرمل . ,0,,msa
1493,الى الشيخ احمد الطيب انا مسلم سنى وانت لا تمثلنى احترم الازهر لكننى احتقرك جدا,0,,msa
1494, اللهم انصر اخواننا المسلمين  العراق سوريا فلسطين بورما ,0,,msa
1495,أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني، وأن نتحلى بروح التسامح، لنبدأ في البناء بسواعد كل مصري ومصرية,0,,msa
1496,  اعجبني رأيكوان رفضت التعميم سلبا اتفق معك ان موروث مصر الحضاري هو نواه مشروع الوسط للبناء عليه,0,,egypt
1497,ثمان غارات بالطائرات ل  النظام على مدينة  دومة وخمسة عشر على  المليحة في  الغوطة الشرقية نسأل الله أن يرد كيدهم في نحرهم وأن…,0,,msa
1498,ما يجرى فى سيناء إرهاب يروح ضحيته عشرات الشهداء وخيانة لأمننا القومى ، وما يجرى فى رابعة والنهضة ظهير سياسى له,0,,msa
1499, الخارجية الروسية: محادثات حول سوريا في موسكو غدا بمشاركة وزراء دفاع وخارجية تركيا وإيران. ,0,,msa
1500,طبعا لسه متفائل، بل أكثر تفاؤلا بخروج المكبوت إلى النور أي جراحة لا تخلو من ألم؟,0,,egypt
1501,إنتا فرحة جات لِ عندي بعد دنيا من التعب السعادة إللي بعشها يَ حبيبي إنتا السبب ضحگتك عقلك جنونك والحنان إللي في عيونك  شير…,0,,egypt
1502,ماحدش له دعوة بيا انا و جيمي اتنين اخوات بيتكلموا ماحدش له دعوة,0,,egypt
1503,  احمد شفيق لن يعود !== بني سويف ارحل بامر الشعب تيران صنافير مصرية مصطفى بكري سامح شكري مجلس الوزراء مسرح مصر هشام جنينة ,0,,msa
1504,أنا أبكي !! وأدري أن دموع العين خذلان وملح !!  محمود درويش,0,,msa
1505,رحم الله جمال البنا أتاح مكتبته الضخمة في العباسية للشباب وحرص على مساعدتهمالمكتبة عنوانها 195 شارع الجيش بالقاهرة أتمنى أن تظل تعمل بعده,0,,msa
1506,  الناتو : ضباط اتراك طلبوا اللجوء في بلدان تنتمي إلى الحلف ,0,,msa
1507, في رايي الشخصي ... انه بعد تألق احمد الشيخ مع المقاصة كدة السنه الجاية الاهلي هيودي ميدو جابر اعارة للمقاصة و يأخد احمد الشيخ....  😂 😂 ,0,,egypt
1508, ميشال عون... رجل لن يكرره الزمن  جهزوا سواعدكم ,0,,msa
1509,الدوري الإسباني جولة 151- ريال مدريد 37 نقطة2- برشلونة 31 نقطة3- إشبيلية 30 نقطة4- فياريال 26 نقطة5- ريال سويداد 26 نقطة,0,,msa
1510,اى والله :)  اسلوب حياة,0,,levant
1511,المعنى الحقيقي للوطنية المعنى الحقيقي للضحكة الصافية  باسم ,0,,msa
1512,شكرا ياشباب على محبتكم ربنا يجعل كلامنا خالصا لله والوطن ده رابط تحميل المعصرة مقالة أحمد زكي مهمة تصبحوا على خير,0,,egypt
1513,فيك عن ميثاقك الوافي جنوح لا انتحيتي كالخيول الجافله من يؤمن في رجوعك به تروح للهموم أللي بسنيـنك حافله  محمد الشمري,0,,gulf
1514,مقال رائع لخالد منتصر,0,,msa
1515, الاحتفال بعيد  الاستقلال خيانة عظمى بظل استمرار  الاحتلال ! ,0,,msa
1516, لم تختار  حماس 😍 ,0,,msa
1517, الي مو عاجبه مبدأ التعايش مع مختلف اشكال الناس.. عنده حلين.. يا يصير امريكي و يصوت حق دونالد ترامب.. او ينتحر.. الخيار الثاني اشرف لك.. ,0,,levant
1518, إنما المؤمنون إخوة  علي شعار رابعة خلفية الزعيم  أردوغان في منظر ولا أروع  مرسي رئيسي,0,,msa
1519,اوعى تنسى انو احسن هدفين لعام 2014 وبكل صدق تم تسجيلهم بالدوري الاردني,0,,egypt
1520,الله يرحمك يا جبران تويني ١١ سنة يا صديقي وبعدك بالبال رجل كلمته حرة. وبعد بالبال آخر لقاء لنا ضحكنا ع ردة فعل جان لويس قرداحي امام مي شدياق,0,,levant
1521,اخيراً خلصوا الحراره لاعبة لعبها بس لازم نختم كلام اليوم😰واعتذر عن  حزب الاعاده✋🏻سبحان اللهالحمد للهأستغفر الله😴😴  زد رصيدك37,0,,egypt
1522,مصر رائدة التحولات الكبرى حسمت التحديات التي واجهت كل المنطقة كالغزو المغولي والبريطاني وستضع حداً للتيارالعلما…,0,,msa
1523,الله يخرب بيت اللى اقتراح استيراد الفحم قولوا امين  أوقفوا الفحم,0,,egypt
1524,  قروب المحبه والموده قروب فيدرر للدعمعبارة مُريحه :إن الله لا يَنسى قلبًا لجأ إليه. ,0,,msa
1525,ندعو الشباب المؤمن بمبادئ الوسط والراغب في المشاركه الفعاله للتواصل معنا واستكمال الاستمارة المرفقه,0,,msa
1526, مردخاي يحمل  حماس  مسؤولية  التصعيد قرب سياج  غزة ,0,,msa
1527, شوقي : ولد الهدى فالكائنات ضياء وفم الزمان تبسم وثناء/ اللهم صلي وسلم على سيدنا محمد وعلى اله وصحبه وسلم  بكفي حصار  اضبطوا شركاء المخلوع,0,,egypt
1528,كيري: أطالب كل الأطراف بالالتزام بوقف الأعمال العدائية الذي سيسمح بتوصيل الإغاثة الإنسانية وسيساعد على استئناف مباحثات السلام. 2/4,0,,msa
1529,خمس الاف  الامارات  الهلال  النصر  السعودية  الكويت  قطر  الرياض  مكة  رتويت    دبي  الشارقة    غرد بصورة 168,0,,msa
1530,كل يوم يزداد ايماني ان ربي حبيبي معي يارب لك الحمد جميع الامور ميسره بكل حب,0,,egypt
1531, اللهم أستودعك أهلي وأحبتياللهم أستودعك بلادي  ليبيا وأهلها وشبابها اللهم أنعم علينا بالأمان والاستقرار وحسن المعيشة والتغيير للأفضل ,0,,msa
1532, خلق جميل الحياء/ الرجولة,0,,msa
1533,يا من اذا قلت ي مولاي لباني يا واحداً ماله ف ملكه ثاني أعصي وتسترني أنسى وتذكرني فكيف أنساك ي من لست تنساني لا اله الا انت  …,0,,msa
1534,البعض يواجه مشكلة في تغيير نسبة الإضاءة في نظام ويندوز 10المشكلة موجودة بكثرة قبل تحديث ميكروسوفت السنوي اللي صدر قبل فترة ليست بالطويلة.,0,,msa
1535, «الهلال الاحمر الكويتي»: وقعنا اتفاقية مع «الهلال القطري» لتوزيع المساعدات الإغاثية على النازحين السوريين من حلب ,0,,msa
1536, اكتب عبارة على باب قلبك ' فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قـــشرا ,0,,msa
1537,الشعب هو البطل الوحيد!,0,,msa
1538,ثمه شعله حنين مشتعله في جوفي حرقت كبريائي حتى الرماد ومزجته في كوب زجاجٍ شفاف وسكبته على أزهار الذكرى حتى أرتوت وينعت  اعترا…,0,,msa
1539, اللحين هو انا بس اللي شايف ان بيونسيه مو كوين ولا شيء ؟ ,0,,msa
1540,الرضا بماا كتبه الله لك~ يجعل لك الحياة كما تريد♡,0,,msa
1541,من الذي زار مرسي في مخبئه السري؟! دعلاء الأسواني يكتب مقاله بعنوان :   كيف للرئيس أن ينام ؟!   على هذا الرابط >>,0,,msa
1542,رفع الشعارات السياسية في الحج حرام شرعاً وخيانة وطنية …,0,,msa
1543,جمهورية مصر الطبيعية جمهورية ديمقراطية حقيقية جمهورية مدنية تحمي حقوق المواطنة و المساواة و العدل,0,,msa
1544, اريد اخبارالمشاهيرالعرب بختصار(نوال الزغبي)ارجوكم ,0,,msa
1545,4 للتوضيح: تماما كما سجلت رفضي في اجتماع سد النهضة لغياب الشفافية في مسألة سيناء وفي كلمة علنية فخرج البعض مدعيا شكري على الشفافية في سيناء,0,,msa
1546, كنا في احتلال اليهود ل  فلسطين و الآن أربع عواصم   عربية محتله من  إيرانليتنا بقينا على واحدة ولم نفرط في اربعه. ,0,,msa
1547, انا كنت في سيرتك أمبارح مع قلبي وحنيني لك ❤ 🎼🎤  اليسا ,0,,egypt
1548, اكبر تناقض عاشوا لبنان كان بين ثورة كبيرة وكرسي غالية ومبادئ انكتبت بدم شهدا غاليين للأسف صارت ملف بجارور رخيص  جبران تويني ,0,,levant
1549, وفضحت  حلب العرب والغرب  المتشدقين بحقوق الإنسان والحيوانحلب كشفت عور العرب  ولكن يقين بأن النصر لهم  حتما سننتصر ستبقى حلب ستنتصر حلب ,0,,levant
1550,غدًا الثلاثاء ٢٢ نوفمبر الساعة ٧ مساءً في  معرض الكويت الدولي للكتاب سأقدّم ندوة الكتّاب بين أفق التجريب وممكنات النجاح أتشرف بكم ❤️,0,,msa
1551, : يضاف اليهم البرادعى ضمير الثورة  طبعا,0,,msa
1552,نحيي شباب حزب الوسط على مجهودهم الرائع فى الانتخابات والذى كان سببا فى حصول الحزب على ما يقرب من مليون صوت ممن صوتوا لنا عن اقتناع,0,,msa
1553, اشتباكات بين  الجيش السوري والمسلحين عند محور كباني في ريف  اللاذقية الشمالي وسط قصف مدفعي وصاروخي يستهدف نقاط انتشار المسلحين في المنطقة ,0,,msa
1554,  صور للشاب عوني مازن الشخشير الذي اعتقله  الاحتلال قبل قليل، على حاجز زعترة جنوب مدينة  نابلس. ,0,,msa
1555,  رائيكم  بقيام  الكتائب الارهابية بضرب الحافلات التي تنقل المدنين والجرحى في حلب الشرقية  ,0,,msa
1556,نهضة الغرور والأنانية يدعمها النفاق,0,,msa
1557, المجد للمبتسمين  المجد للمبتسمين صباحا,0,,msa
1558, كانت طائرات الناتو تقصف مواقع الشعب المسلح ف المعسكرات والجبهان مع لحظة ارتفاع ادان المغرب ف شهر رمضان لقد كانوايقتلون الرجال ويستهزون تبع ,0,,msa
1559,نظرة هادئة لمشهد ملتهبمقال اليوم أجيب فيه عمن يسألونني دائما عن الحل ويتهمون الكتاب عامة بعدم الحديث عن الحلول,0,,msa
1560, الأرجنتين في أرضها و بين جمهورها خسرانه من البارغواي حتى الآن، يقولون الأرجنتين منتخب في لاعبين كبار حتى بدون ميسي راح يوصلون الثلاث نهائيات ,0,,gulf
1561, اللى بيتولدوا وبيعشوا فى العواصف 💪 ما بيخافوش من الريح 👌 ✊ مشتاق اسمع جمله عادل امام كلمه لحبيب قلبك حب أعمى ولسه يامصر هشوف فيكي ,0,,egypt
1562, الاهلي  اسلوب حياة,0,,msa
1563,"ملايين فى الشوارع قبل العاشرة صباحا مشهد لم يره بلد فى العالم, كم أنت عظيم يا شعب مصر",0,,msa
1564,اسألوا البرادعي عما فعله في العراق  باسم طلع حرامي …,0,,msa
1565,مشكلة اليسار مش اللي قاله العريان مشكلته إن رغم كونه الفصيل الأكثر فاعلية ونضالية في الثورة المصرية لم يستطع طرح شكل,0,,egypt
1566,تبقى مناظرة اخيره بين المرشحين للرئاسة الامريكية. اظن بل اجزم ان الفوز سيكون من نصيب هيلاري كلنتون. والعلم عند الله لكن المعطيات تقول ذلك,0,,msa
1567,10-أخيرا فإن تدخل الأمريكان جاء لإيجاد موطئ قدم وضمن استراتيجية-إعادة التمركز-،وهو شبيه بتدخل الناتو في 2011 إذ لا علاقة له بالأهداف المعلنة,0,,msa
1568, خبر عاجل : وزراء دفاع روسيا وايران وتركيا يبحثون الازمة السورية في موسكو غدا الثلاثاء ,0,,msa
1569,لقد قامت الثورة وضحى الاف المصريين بحياتهم من اجل استعادة كرامة الانسان المصري داخل مصر وخارجها اين وزير الخارجية اين عصام شرف,0,,msa
1570, لن تعيدونا إلى   الظلام .. ب الأحضان  نبني  ليبيا.. رغم   المُفخّخات  و   الانفجارات . ,0,,msa
1571,ديميكليس هذا مفترض لا يلعب ، صديق ميسي .موساتشيو ليس مدافع يسار ومايدانا وغاراي افضل،لا اعرف لماذا ميسي مستبعد غاراي.,0,,msa
1572,اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية,0,,msa
1573,يا عزيزي حاولت اكثر من مرة من سبتمبر اللي فات وكان موافق ثم اكلم من حوله فلا اجد اجابة شافيةدلوقتي برنامجي خلص خلاص,0,,egypt
1574, الوطن | رئيس المجلس المصري للشؤون الخارجية يغادر إلى  نيويورك  مصر  اخبار,0,,msa
1575, بعض الاعلام الغربي يستخدم مصطلح  الحرب السورية  لتفادي حقيقة أن النظامين السوري و الروسي هما الذين يذبحان الشعب السوري ,0,,msa
1576, هيلاري كلنتون لم ولن تنسى خيانة زوجها لها وسر تمسكها به لأنهم من جيل لا يعرف الطلاق. ,0,,msa
1577,الرضا  خلق جميل,0,,msa
1578, هو فيه واحده جديده دخلت الاسلام اسمها نورهان ابوبكر ؟ ,0,,egypt
1579, يطلبون السلاح من الغرب ويلومونه لماذا يمنعه عنهم؟.بالرغم انه زودهم بما يكفي منه باستثناء النوعي لكن جبهة النصره واحرار الاخوان سرقوا اسلحتهم ,0,,msa
1580,: أنا أنتظرك لأنني لا أجد شيئاً آخر يُسليني في غيابگ عنّي !  اعترافات ليلية ,0,,msa
1581, محمود درويش,0,,msa
1582,بعد قليل ننشر لكم فيديو من ندوة دعلاء الأسواني من ساقية الصاوي بتاريخ 14-6-2012 ويوضح موقف دالأسواني من انتخابات الإعادة الأدمن,0,,msa
1583,قصه قصيرة : عرف ربه فأحبه فعاش سعيداً,0,,msa
1584, وبعدين ميريام فارس حلوه اوڤر كدا ليه😍 ,0,,egypt
1585,لازلت معترضا على تشكيل الجمعية التأسيسية لانه يجعل دستور مصر في يد اغلبية تنتمي الى الاسلام السياسي الدستور يجب ان يمثل المصريين جميعا,0,,msa
1586,  ماذا لو المدارس مختلطه اغغلب المدارس فيها بويات تعتبر مختلطه؟؟؟؟ ,0,,msa
1587, الذهبية نوال الزغبي ❤   توبر قلبي ,0,,levant
1588,  القدس-شرطة  الاحتلال تعترف بإطلاق نار على قواتها قرب  معبر الزيتون فجر اليوم ووقوع أضرار دون إصابات ,0,,msa
1589, السيسي يلوم  الخطاب الديني غير المرتبط بالعصر  على ما لحق من ضرر بقطاع السياحة في  مصر  مرسي  الاخوان  السعودية  الامارا…,0,,msa
1590,النظر إلى وجه الأم عبادة…,0,,msa
1591, لماذااي قرار سياسي داخلي وخارجي في  السعودية أول من يعلم عنه ويتحدث عنه الاعلام الغربي . والاعلام السعودي والشعب السعودي مجرد أدوات تطبيل . ,0,,msa
1592, الواتساب معلق,0,,egypt
1593, إبراهيم محلب هايدخل التاريخ وهايحل مشكلة سد النهضة وإبقو إفتكرو إن مدرستى دى لاسال قدمت هدية لمصر من أحد خريجيها الناجحين,0,,egypt
1594,الاشتباكات اللي حصلت يتحملها الجميع لكن الخطأ السياسي كان القرار بالدعوة لمظاهرة مؤيدة للرئيس في نفس مكان وزمان مظاهرة معارضة,0,,egypt
1595,بطاقة دعوة  زواج حلوه لـ  الواتس اب من تصميمنا رتويت ي حبايبي :$,0,,egypt
1596, طقس العرب ما بالغت هاي السنة بس الشعب قرر ياخد مكانها و يبالغ! حكوا انه تساقط و فش تراكمات و الناس قاعدة بتناقش اذا في عطلة ولا لا ,0,,gulf
1597,الصلح خير قوم نتصالح  المشير,0,,egypt
1598, اسكندرية : محطة الرمل زمان أو دلوقت دايما جميلة :),0,,egypt
1599,أعتقال الناشط اليساري هيثم محمدين يكشف بوضوح أن العسكر يستهدف المد الثوري أي كان لونه أو شكله أو إنتماءه وأن …,0,,msa
1600,  جمله من معلق رسخت ببالك حطها ف شبكة ، قطع الشبكة،  جيبها من الشبكة يا ايكر،  تعليق عصام شوالي ف ضربة سد لميسي على ريال مدريد🙊. ,0,,egypt
1601,لا شيء يبرر إحالة المدنيين للقضاء العسكري حتى البلطجية القضاء المدني كفيل بهم,0,,msa
1602,سأتجه الآن إلى الملتزم (بين الحجر الأسود و باب الكعبة) هناك يستجاب الدعاء و هناك لصق النبي جسده بالكعبة و دعا الله كثيراً سأدعو لكم كثيراً,0,,msa
1603,إستخدام المساجد في العمل السياسي ونشر العنف    ,0,,msa
1604, احد قد جرب يشتري قهوه من اي هيرب ولا امازون يتفضل يساعدني 😓 ,0,,egypt
1605, هذة مصر عز و فخر لهذه الامة,0,,egypt
1606, اغنية رامي عياش اللي بحكي فيها على عيني و راسي والله عنك لحظة ما أتخلى كتير حلوة ,0,,gulf
1607, ليه ميبقاش في مدرسه لتعليم السحر زي هاري بوتر ؟؟ 😟 ,0,,egypt
1608, أمريكا قبل روسيا والنظام تريد القضاء على فصائل المعارضة لأنها لم تلزمهم بالانفصال عن جبهة النصرة وهي قادرة على ذلك لتبرير لروسيا موقفها. ,0,,msa
1609, ع منطق حقير ولا يتبعه سوى الجبناء هذه نفس تقتل عارف يعني ايه؟ يمكن لو أخوك أو أمك كنت تفهم,0,,egypt
1610,التعادل فى نهاية اللقاء قلل فرحة الاهلى لكنه خير لأنه سيجعل لقاء الاياب فى القاهرة حاسما ودور المصريين خلاله حاسم لاعلاء اسم بلدهم وفريقهم,0,,msa
1611,التنظيم الدولي للإخوان تعلم على يد رامسفيلد يقوم بحربين في وفت واحد او  كلام و كلام  يوسف الحسيني  …,0,,msa
1612, شياو يان من بيت الوسط: سنواصل مساعداتنا وسنبقى على تواصل مع لبنان بشأن سوريا ,0,,msa
1613,افضل ﻻعب في العالم رونالدو لم يستطع التسجيل بوجود الصخرة حمد المنتشري!  اسطورة  كانيدا يحتاج لحمد المنتشري,0,,msa
1614,26- لم يغرّر أوباما بالمعارضة السورية وحسب، بل فاجأها بتفرجه على تدخل حزب الله اللبناني والحرس الثوري الإيراني ثم المليشيات العراقية وغيرها.,0,,msa
1615,لسنا ضد من عارض مرسي بل لسنا ضد من دعم الانقلاب لكننا ضد من دعم القتل وفوض القاتل,0,,msa
1616,ناخد من الرسول عليه الصلاة والسلام قدوة لما كانوا بيشتموه كان هو كمان بيشتمهم تفتكروا؟ كان زماننا بوذيين,0,,egypt
1617,مصر تستجدى روسيا لاعادة السياح بكره تشوفو مصر,0,,egypt
1618, قوات  الاحتلال تقمع المشاركين في مسيرة كفر قدوم المناهضة للاستيطان، قبل قليل، وتطلق قنابل الغاز والصوت بكثافة صوبهم. ,0,,msa
1619,  ليبيا||القبض على زوجة  مختار بلمختار القيادي  بتنظيم القاعدة شرقي الجبل الأخضر. ,0,,msa
1620,استفدت كتيير اوي من حلقة انهردة معلومات اول مرة اسمعها بارك الله فيك ^^  مصطفى حسني على طريق الله   روح العبادة  ,0,,egypt
1621,  سوريا  الجيش السوري يسيطر على أحياء الجزماتي والسكن الشبابي والبحوث العلمية شرق  حلب ,0,,msa
1622, رسميا .. القبض على زوجة مختار بلمختار القيادي بتنظيم القاعدة شرقي الجبل الأخضر.  ليبيا ,0,,msa
1623,لدي رغبة عارمة في الانتقام لو جاءتني الفرصة سأكون اكثر شراسة منهم  اعترافات ليلية,0,,msa
