,tweet
1646,When your walking and eating hot Cheetos at the same time and you get your move goal on your watch That’s the definition of balance
1647,IMAGINE the outcry if SNP voter went and celebrated this win that actually mean something in the same way that Rangers fan ‘celebrated’ a few week ago over football game
1648,I need the weekend to stop being like 20 minute long
1649,The rate at which I go between thinking ‘it’s fine I’ve still got 3 week to write my dissertation’ and ‘shit I’ve only got three week to write my dissertation’ is causing some serious procrastination whiplash
1650,Our kid grandkids will have to remember today’s date for a US history test 😅
1651,I’m at a weird point in my life where I’m on etsy looking for cute reusable tote bag
1652,recently started highlighting
1653,OH MY GOD I AM IN LOVE WITH MY FIANCÉ
1654,So happy to be alive today
1655,Can you guy stop making Palestinian liberation into an excuse to be antisemitic
1656,Who's bored at home
1657,Passed my theory
1658,Can't wait to get a kebab
1659,Why are tanning bed legal
1660,Those nutrition place yall frequent are thinly veiled Herbalife store Also they are not healthy
1661,I don’t want to see makeup review of a brand new mascara Show me the 20th time you’ve worn it Even the worst mascara look good when it’s fresh
1662,Here’s the situation DO WHATEVER MAKES YOUR HEART HAPPY You’re going to die one day dang it At least do all the thing you wanted to before you leave
1663,Life is so beautiful when you stop taking it so seriously Like chill dude You’re doing just fine
1664,I painted my first business sign &amp got two more business sign to do Omg THANK YOU GOD 🙏
1665,I’ve honestly been dreading the return to school no matter what form it take for the first time in my career Hearing speak tonight with changed that I feel fired up Thank you both
1666,So so thankful for the truth and leadership is dropping tonight
1667,When parent ask about your mental health during parent teacher conference 🥰 and you don’t tell the truth because like gesture broadly But still
1668,Congratulations to Qpfc Champions of League2 #whowantsasuperleague
1669,Perfect afternoon chilling
1670,Why did my wife decide we needed a new kitchen 2Days to strip the tile and plywood off
1671,Surely if all Opticians boycotted contact lens manufacturer until they stopped supplying dodgy online store we'd end up with fewer parasitic site that don't require a fit aftercare or even a valid eye test
1672,The Suicide Squad felt like a remake of the Watchmen movie where they actually kept the giant squid
1673,After my Holland &amp Barrett parcel wa damaged on it way to me I had to send probably the most middle class e mail of my life asking them to please resend the order ASAP a I wa running out of kombucha
1674,racial stereotyping is the problem Please listen and retrain your staff
1675,Loving the fresh trim Looking fresh My projection look even better now
1676,how can you allow someone to be without internet for three day in 2019 Told I have to wait 72 hour so manager can check if other customer are effected before resolving the issue
1677,Great opportunity for a position at ZSL #sciencejobs #researchjobs #postdocjobs #graduatejobs #animalbehaviour
1678,Learn about what we do in the Brain and Behaviour Lab at the #UniversityofPortsmouth #zebrafish
1679,Have you tried Steve Wilson at UCL
1680,This second jab ha made me feel off the box this entire day 🤮
1681,Idk but pick 1 Fireworks being lit inside school some guy fingered his girl in the common room guy threw a chair at the headteacher another guy flung a laptop outside a window from the top floor teacher touched up a student my boy stabbed another guy with crafting knife 😭
1682,it’s crazy how many of your goal you can actually accomplish when you just don’t broadcast everything you’re doing
1683,So now that thats over how’s your day going guy
1684,Entered a scramble yesterday at the orchard and won double the money I paid Free cash
1685,Best bullpen in baseball selling rn to Stanton and Judge Not a place you want to do it
1686,me with an 8am chem lab on friday😭😭
1687,i grew up in texas and everyone who paid attention at any time from 1st grade 10th grade knew africa wa a continent we were also tested on all the continent multiple time in elementary
1688,shut the hell up
1689,I can't count the amount of time over the year I've just forgotten I have my nose pierced and I've just been reminded again by a tiktok
1690,Just caught Jamie talking about me with his nan he showed her a picture he took of me and she said aw she's gorgeous isn't she MY HEART 🥺💕
1691,That second vaccine dose is no joke is it 😵 been absolutely floored since Saturday
1692,Context ~leg day~ Jacob I need power play Britney Spears Yes sir I love u
1693,Jacob got me sunflower and rose is taking me to a crab boil AND got me the only sims game I didn't have 😭 literally all my fav thing
1694,Nightmares are so horrible and weird my is my brain subconsciously thinking about horrible thing like what
1695,B w Rain is a Good Thing stuck in my my head the heat &amp #GladePlugIns going in the car hard to believe it's not Summer #Glade #GotItFree
1696,Excited it's almost Thanksgiving
1697,Can a burrito change the world Don't miss Chipotle's first Game Day commercial #bonuspoints
1698,Every day for the past three day I've pulled up a taco bell doordash order and filled up my cart and closed the window to not follow through with it
1699,Are jacket potato only good for the topping that go on them
1700,Forgot to wash my hand after using self tanner so now I have what look like just ate chicken wing hand but permanently
1701,the people who are going yeah well The Assault Man said he didn't assault her so she's a liar are making ME crazier just from exposure
1702,it’s unbelievable to me that you pay rent so your landlord can handle maintenance your landlord doesn’t have to fix anything that isn’t an immediate hazard and your landlord can forbid you from repairing stuff yourself are belief that people can hold simultaneously
1703,i just absentmindedly scooped a spoonful of cat food into my cup of coffee someone please save me from myself
1704,I'm walking for Citizens Advice in NW Kent Please help if you can x 2019 London Legal Walk
1705,What a stellar performance by yesterday at Cadogan Hall A tour de force Tears tingle and jaw dropping awe
1706,The wearing and non wearing of face mask by support team and family of player at ATP event is shockingly bad and setting a really poor example to anyone watching Is it within your remit to encourage or enforce better adherence to effective face mask wearing
1707,i hope my 6th grade english teacher know he inspired my first tattoo there's no reason he would know that but i hope he just feel it in his bone
1708,thinking about that time when a week after i broke up with him my ex sent me a playlist to tell me all his feeling from throughout our 3 week relationship how he felt about it ending and the whole thing wa just john mayer song
1709,put the frou frou version of holding out for a hero on spotify challenge
1710,Loving the representation from South Yorkshire 🥰🥰 #GodsOwn #England #ENG #bbcfootball #bbc
1711,The #PostOffice KNEW there were bug in the system Not remotely reliable Innocent life were completely ruined and SOMEONE is to blame Not fit for purpose An utter disgrace I'm oddly livid over this #bbcpn
1712,Get your damn dog out of the sun it's not difficult 🐕🌭☀️🥵🥵🥵🤬
1713,The amount of McDonald’s Diet Coke’s I’ve purchased in the past week is embarrassing
1714,Target just brings me too much joy
1715,Omg my dog just scrolled through my email with his nose and I’ve never seen anything CUTERRRRR😩😍
1716,The number one freedom white people have in America is to remain totally ignorant about the injustice committed against those who are other than white Jane Elliot
1717,The Drake and Josh theme song I Found a Way is the best Nickelodeon TV theme song and that is a fact
1718,Honestly this weather is the best birthday present I could ever receive
1719,Me on a scale of one to ten how cute are the baby you see in clinic Rob that chunky baby the other day wa a ten The one I saw today wa a three so pale To be fair she's in the hospital and very sick
1720,Today Rob told me that they have a room in the NICU with so many baby with MRSA that they started calling it the MRSAry
1721,My cat eye glass came in the mail today so I'm officially ready to start librarian school
1722,i mean it aint broke yet
1723,If they aren’t out yet just wait to get the ps5 later with a discount
1724,keyboard and mouse weigh nothing the monitor are a little iffy though
1725,Every once in a while I still forget that Tatiana Maslany isn't multiple people #OrphanBlack
1726,Well I had hoped the election would be called in time for my quarter century birthday two day ago but I’ll accept this belated present from my fellow Americans #BidenHarris2020 #election
1727,I think I've figured out why Ted Cruz always look like he's melting It's because of the flame constantly emanating from his pant #TXSenateDebate #LyinTed #LoseCruz #PantsOnFire
1728,everyone get all hyped about ancient debris but where's my modern debris
1729,i just overheard this bunch of child behind me yell DON’T LOOK AT THE ENDERMAN internally yelling a an mcyt mod
1730,started telling my dutch friend about how i've not really tried much liquorice while watching this fundy and 5up sweet tasting stream and they're now planning on potentially sending me some over to try which is very sweet of them
1731,took my dog to the vet today because i thought she had ringworm turn out she wa bit by a GNAT lmfao i am a drama queen
1732,have to somehow become fluent in Spanish in these 2 week before school start because i bullshit my way through my past 2 semester in online class it just set in that i’ll be in class with native speaker and i am so embarrassed already
1733,complained about my job for week but i just cried after my last shift
1734,Seeing my friend shine is so heartwarming 🥺🥺
1735,I finished my MBio in Biomedical science this week and today I found out I’m graduating with a final mark of 77% distinction 🥳 so proud of myself
1736,Forbidden forest wa so peng
1737,victini is my favorite pokemon
1738,going off priv to enter a discord sweepstakes
1739,i love desth note go light go
1740,Midwife mean with woman be it a male or female midwife that's what we are there to do #WomanCentredCare Thank you and for highlighting the work we do a midwife Seeing a happy and healthy mum and baby knowing I made a difference #allthethanksineed
1741,Just caught up with #HolbyCity think I've just about finished cry 😭 you were outstanding You will certainly be missed
1742,I wa OK until Jac got emotional #HolbyCity 😭
1743,milk and cooky are an undefeated delicacy
1744,climate change is REAL and scary a FUCK I resent every person financially sound and competent enough to counteract even an inch of humanity’s carbon footprint but disregarding any notion of being eco friendly the severity of these natural disaster are not normative
1745,Ok Wandavision is good
1746,#McflyAllAboutUs got me right in the feel ❤️
1747,Am I the only one who think burrata is boring af
1748,Hahaha these lad have never heard gucci mane or migos in their life 🤣 #UniversityChallenge
1749,Is there a problem with the predictor page Its not loading so unable to enter my prediction
1750,Tried okra for the first time from Tesco Absolutely delicious #TriedForLess
1751,In desperate need of 1 final spoon code Been searching shop desperately for the last few week without luck Please please send me a code
1752,If u got a pussy lip hangin out ur panty rn then like this It’s for science
1753,i’m going to make a quilt of all of my titty pic and sell it to the people to keep everyone warm
1754,yo ima hott mess but at least i’m hott
1755,bae call me on FaceTime so we can keep each other company while we work on our art and honestly it’s so wholesome and motivating
1756,this Brazilian dude always like my picture on instagram nothing more and honestly he’s a pretty welcome presence on my account
1757,self care is unfollowing everyone on social medium except dog
1758,Happy to be part of the team
1759,Another great day in the office Happy to be working with and #softwaredevelopment #webdevelopment #Motivated #tech #Businesses
1760,Was fun Looking forward to the next one #podcasts
1761,I wa today year old when I learned what Ricky Martin look like
1762,My favorite thing is that literally ONLY my say I have to have a prescription for syrinx that I've been getting OTC for year This is the kind of shit diabetic are facing
1763,I've compiled a list to debunk the gatekeeping moron saying #StarWars is too male focussed Leia Organa Jyn Erso Rey Bastila and Satele Shan Hera Syndulla Padme Iden Versio Nightsister Merrin Cere Junda Asajj Ventress Sabine Wren Bo Katan Kryze Shaak Ti 1
1764,Still time to apply for our Clinic Supervisor post
1765,One point of correction though literally artistic licence At present exercise ha been shown to be effective in other autoimmune condition but not specifically in APS
1766,Networking networking and networking big message from today’s key note speaker #PRS2021
1767,my greatest downfall is having an upset stomach then eating spicy food to make it worse
1768,i am in severe pain while on vacation i feel robbed
1769,bo burnham owes me absolutely nothing but i think he should put make happy on spotify i need to sob to the burrito song
1770,there wa a bee in my house yesterday and i haven’t seen it since i hope it died
1771,doe anyone else buy pound cake in bulk from costco
1772,just expressing my love for brandi carlile and brittney howard that is all
1773,I passed my permit test 🥵
1774,I wanna hurry up and get my 2nd dose of the vaccine😖😖 2 more weeks😢
1775,Cicadas are fucking ugly and I’ve had the misfortune of seeing one at eye level two time this summer
1776,the hurricane ha been completely underwhelming
1777,raise your word not your voice it is rain that grows flower not the thunder aka don't be mad Stoopid
1778,day before rodeo is Travis Scott's best project
1779,Why you gotta take someone pure like Sean Lock from u huh Why couldn’t it be James Corden
1780,How are there woman in this world who think we should be kind to pedophile and rapist Howwwwwwww They’re not sorry
1781,I’m ready for Lockdown #2 I need to make better bread
1782,USA is turning into the 40 something uncle who turn up to the wedding reception get drunk &amp take the mic from the band to sing Sweet Caroline but get all the word wrong Highly entertaining but a total fucking train wreck that you’re glad you don’t have to see more often
1783,I don’t get anywhere near £500 a month on UC though I basically get told you get what you get and if you don’t like it you can fuck off and die One thing’s for certain I wouldn’t cross a puddle for the benefit I’m on let alone the Channel
1784,Angela Merkel doctorate in Quantum Chemistry Leo Varadkar worked for year a a GP Boris Johnson once accidentally called ping pong wiff waff
1785,Imagine being allergic to sunlight and thinking you're God's favorite 😏
1786,One or my friend ha a crush on me and I feel sad that I don't feel the same way Because I know EXACTLY how that feel I hate this feeling 😞
1787,Its literally very common My friend son wa concieved while she wa in the pill You do know it's only 91% effective right That mean for 9% of woman that form of birth control fails
1788,It's hard to cope without any hope
1789,Sunset over the Appalachian mountain
1790,My crazy doesn't go away It's here to stay
1791,We didn’t deserve to draw anyway but it’s just so frustrating to lose due to shit officiating
1792,Pernille deserves better
1793,Harder and Ji have carried this team today
1794,#didyouknow Mosquitoes are attracted to the colour blue twice a much a to any other colour
1795,I have finished work yet am still here latched onto the free Wifi like a newborn child to his mother
1796,Shit After a hilarious yet faithful recreation of Winnie the Pooh a part of me is now stuck inside a honey jar
1797,Yep the only reason I've stayed with 3 since Ovivo disappeared wa the everywhere contract If and when this reach me then I'm offski
1798,The % you quote is of those eligible This is surely misleading
1799,Get the Police involved Refuse to sail until they mask up Don't let them on in the first place Little point posting on twitter if you're not going to enforce it
1800,Yes please let u know I am interested in buying some LTC
1801,All any update are fully appreciated Mike Many thanks
1802,Hey Glenn what is this app called
1803,Can we appreciate how amazing vaccine are We've got covid case declining despite nightclub being open If we vaccinate school kid we might even avoid a spike once the school reopen
1804,Anyone calling vaccine passport unworkable need to explain how it's different to requiring ID to enter a nightclub
1805,Like all human I make some decision that go against the best interest of myself or others One such decision is sometimes eating too much sugar another wa consuming animal product I would love the government to nudge me towards better decision #NationalFoodStrategy
1806,my mom just called the spatula an egg flipper
1807,apple a much a i want to say ‘abs’ no i am typing to type ‘and’
1808,did anyone else get a notification from saying american horror story s9 wa available but doesn’t show up when you search for it
1809,my professor ha been fighting with his dog most of class lmao
1810,I only watch youtubers that apologize when they mention their video sponsor
1811,I haven’t used snap in so long and my short attention span short term memory can’t keep track of what we’re talking about 😩
1812,anthony dropped his phone in the ocean
1813,greatest british act of all time one direction
1814,hi
1815,I hope the woman I saw driving a motorcycle wearing a semi formal dress and cheetah print stiletto ha a nice day
1816,I watched the first two episode of American Horror Stories and holy shit it wa so bad
1817,Spiritfarer is so good I bought it several month ago but finally started it tonight #gamer
1818,Fat Patty's and Applebee's have very similar energy but they're unmatched It's like wrong step and I'm gonna end up in the other restaurant with no way back
1819,My official ranking of holiday 1 Halloween 2 Valentine's Day 3 New Year's Eve 3 5 New Year's Day That's it folk
1820,Any Brandi Carlile song rip my heart out and mercilessly stomp on it until it is in a million different piece
1821,a much a i like being home i miss my uni pal and messing around in the kitchen at 2am
1822,it’s Songkran right now in Thailand and I wish I wa there😩😩
1823,i don’t understand jacket that don’t have side pocket
1824,keep the mics on pitcher always
1825,Been allergic to peanut for over a decade but still crave PB&amp J all the time
1826,future mvp lamelo ball
1827,I love drawing feets 👹👹👹 Must draw more foot 👹✨
1828,Reminding myself that thing take time &amp I’m not stagnant I’ve been doing the best that I can with what I have and that’s all that matter Small step
1829,I tried to use GIMP but I hate it and it doesn’t work with my iCloud Drive I’m thinking of just caving &amp purchasing the Photoshop cc sub 😩 I think I can get away with just buying a photoshop subscription I don’t mind Inkscape &amp Shotcut
1830,If you're able to donate then use If you aren't able to donate then I'd appreciate it if this post gained some traction Every little bit count If you'd like a drawing for your donation I'm more than willing to do so 4 4
1831,2000s song are so infectiously rhythmic and boppy i love it
1832,a a poly dude this boyfriend comic is really fucking adorable i dont trust no bitch who say it fetishy or not good representation i love them id die 4 them
1833,the worst thing about coffee is that it look so nice and then you drink it and it just isnt
1834,you ever sneeze and are like I am absolutely sneezing for my life right now
1835,sometimes you just have to send death threat to your animal crossing villager
1836,Just sang all the small thing at a karaoke bar in Barcelona
1837,Even though my mom ha to work a 12 hr shift today I'm thankful she's happy with what she doe and that she is doing what she need to do in order to care for her child She is the strongest and most important woman in my life Without her I am nothing
1838,No offense but I actually really enjoy seeing what music everyone is jamming to via social medium Keep doing that cause music is cool
1839,I wa in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through And the score Stunning If you want something beautiful intelligent and unique to watch give it a go It’s on Amazon Prime I’m off for a lie down and a cry
1840,Friday Night Dinners will never be the same So sad #PaulRitter
1841,If they are going after the misspelling definately a proof of H then I’m afraid half of Facebook are suspect #LineOfDuty #LineofDutyFinale
1842,best day of my life we got a new expensive vaccuum WOOOOOOOO
1843,anyone else kinda like how it feel after you floss and ur gum are inflammed
1844,i am slightly allergic to celery but i bought a 2 5 pound bag so i gotta eat it taste good tho
1845,i’m ALREADY stressed about whose pov to watch for mcc hahah
1846,quackity stream is making me so genuinely happy rn
1847,need a new pfp pls send suggestion
1848,Finding out my internship keep Coke product stocked in every kitchen on every floor nearly made me cry
1849,I can't tell if my professor keep skipping delaying Introductions because grad school is so serious and important that you have to immediately dive into material or if because class at AU haven't been in person in two year all the prof are majorly disoriented
1850,I just finally got around to starting the most recent season of Archer and I am seriously bummed out for being only one episode in to my favorite animated tv comedy
1851,I think you are wonderful I adore you 🍞🤼🎢😎
1852,happy birthday
1853,I think you're so cool
1854,Today ha made 4 year since ‘The End’ and I’m honestly about to cry
1855,Hey any chance we could see a civic in Rocket League 😉
1856,Me taking my time and turning in my assignment last minute so my awful professor ha no chance of getting ahead on grading
1857,Where doe Twitter go shopping Went to the supermarket earlier and shelf full a usual Only item I couldn’t get hold of wa British large jar of Colman’s mustard much better value than the smaller one
1858,Very moved by the account coming from Afghanistan right now We can debate the merit pitfall of Western intervention endlessly but relinquishing control to the Taliban is unquestionably the worst thing for the country now
1859,Piers Morgan getting grief for his comment on silver and bronze medal But ask the average person to name 10 British Olympians and they’ll rattle off 10 gold medalist
1860,It’s that time again Please recommend some good period drama and comedy
1861,It's been a bit since I've had a musical obsession on this level but ha anyone seen heard Six
1862,There may never be a better celebrity cameo in our time than that one scene in Space Jam 2
1863,ok wow unfollowing now thought he wa the cool new kid from hollywood but apparently he’s a virgin who lit the black flame candle
1864,who up who on norco
1865,too many word not enough picture
1866,Agree with all that he said with the previso that civilian and arm leave before the last of the troop left that wa Biden's huge error
1867,This is all Biden's failure politician like to pas the buck
1868,You can call it whatever but it wa stupid and not an inserection if it wa there would have been arm and the building would have been taken over and btw it ha been proven non Republican militia were in there also involved and present
1869,back in the office Everybody asks me Happy to be back I chuckle and reply No I'd much rather be surrounded by tourist than idiot
1870,How do you figure out the guy in the office who doesn't have a smartphone He's the one walking into the bathroom with a book under his arm
1871,knew one coworker recently had a baby but didn't send u picture so far People are curious so I tacked up a stock photo of an ugly baby
1872,HOT TAKE Can we stop romanticizing the grind Yes there is value in hard work and determination However it is NOT HEALTHY to work yourself until you can hardly function a a human being There’s a big difference here
1873,The entirety of this Super Bowl just isn’t sitting right with me and not just because my team isn’t playing
1874,Sorry for the overshare but life’s been miserable of late and I need a place to vent so buckle up cowboy cowgirl and cowpeople I present to you the last three week of my life
1875,True bliss is laying in an ice cold bath during the hottest part of the year
1876,I'm sorry but I'll never understand people complaining about free DLC Sure it could have been included in the base game but I'm still getting the content and for free so who care
1877,You think you're better than u because you're vaccinated Uh yeah yeah I do
1878,This art is giving me Mario Strikers Charged concept art vibe This is really nice
1879,This game wa the best $4 95 dollar I've ever spent Dex can't wait for your next game
1880,Toonami introduced me into anime #BringBackToonami
1881,Replace Pelosi #Nancy
1882,Democrats do realize that if In fact trump loses he will run again in 2024 and they will have him for 12 year instead of 8 #MAGA2020
1883,Markets already down
1884,at softball practice tonight one of my girl accidentally stuck her foot into a GROUND HORNETS NEST and those hornet SWARMED like in the hunger game y’all I can’t catch a break with this team 😂
1885,omg text pew pew and see what happens 😮
1886,HAPPY WORLD TAPIR DAY EVERYONE HERE IS YOUR YEARLY REMINDER THAT I LOVE TAPIRS
1887,We are tackling men on inclusivity As I said you don't want to hear or see it because you refuse to read more than newspaper you don't read actual experience you don't read our conversation because you're too hateful to care
1888,i don't like to rag on people's art style cuz w e but this is sincerely so fucking ugly
1889,tbh I think the only time I hear trans people use it is trans mascs referring to themselves I'm sure it doe happen but the OG tweet really feel like made up a guy to be mad about
1890,If you joined our girl friend group you’ll literally break up with your bf sooner or later
1891,Conservatives really are the scum of the earth no one can convince me otherwise
1892,I want to do a puzzle while drunk again
1893,I’m waiting for this yt at work to just just hit me so I can hit him back
1894,If I invite you over for dinner it’s my intention of paying and making everything a my gift to you a my guest
1895,I’m high and drinking coffee but my ADHD is still winning
1896,Excited for this fall voxbox #complimentary
1897,As college begin making fall re opening announcments remember that if your school is reopening this fall it's not because it's suddenly safe or the pandemic is over It's because they want your money
1898,Another thing lost to climate change parent making their kid wear long sleeved shirt under their costume bc it cold out #halloween2019
1899,Celebrating the Year of the Ox in Pingtung County South Taiwan Just off for a scooter ride If this is my first and last twit doh
1900,Just watched the Murray game and BBC commentary after Isn't Andrew Castle cockney rhyming slang for something Should be
1901,Been looking forward to watching Coxsey's bouldering on for a week and the climbing channel is suddenly showing horse Horses Horses HORSES 😡😡😡
1902,3rd shift down already told em bout the clown they’re not fan
1903,watching twilight with sam and i cannot wait to see his reaction to animatronic renesmee baby
1904,maybe i’ll shut up about wisconsin driver when y’all stop fuckin driving like that
1905,I have more fun with my parent and boyfriend than anyone else Is this old age
1906,I miss frenemies so much
1907,Why wa everything in interior design so brown in the 2000s
1908,shang chi meant so fucking much to me i can hardly imagine what it meant to others
1909,early cat boy nyanderthals
1910,aquarium are just liquid zoo
1911,Ready to not be pregnant so I can enjoy my first espresso martini
1912,People are always like I don’t remember what life wa like before covid but for me it’s more like idk what life wa like before TikTok
1913,Is there anything more Dad than calling your dad for his social security number and him saying I don’t know call your mother
1914,so really knocked it out of the park on this album there are not enough word that can describe how much i love BILC i could spend forever inside of it 🖤
1915,the vaccination man said i could have some heart problem stuff i’m being very brave
1916,can we have a bit of a strong cold breeze please
1917,Best night ever 💜
1918,I just heard my voice in a video and I never want to speak again
1919,HAPPY BIRTHDAY MEL
1920,me me after eating one blueberry
1921,I just put my debit card PIN number into the microwave not doing well
1922,another week really doe start tomorrow 😞
1923,wearing all manner of ring and chain bc i always have to be the sexiest person in the home depot
1924,i think it should be illegal for the people stopped at the light outside my window to have bad music taste
1925,i'm going to a butch brunch clothes swap this weekend and i think this is the most excited i've been to socialize in a year
1926,People who drive under the speed limit Death Penalty
1927,Payphone by Maroon 5 is actually a super sad song now that I’m 22 &amp actually listen to the lyric
1928,I wish I could watch Disney channel original movie on the old box TVs to get the full effect again
1929,AMAZING game So happy to have you in Vegas ❤️❤️❤️
1930,It cost $0 00 to be a decent person 🙂
1931,You never realize how easy life really is until you can't breathe through your nose 😶
1932,Huh I'm realizing now that I have never been that far away from ALL human I'm surrounded by inhabited place plus I've really only visited popular city did go to a cabin in the wood once but that wa with family Interesting concept to think about
1933,the good show that were cancelled for this to happen 👁️👄👁️
1934,Excited for season two
1935,Happy Birthday to Chris Lowe of Pet Shop Boys Your music is the backbone of my existence #chrislowe #happybirthdaychrislowe #petshopboys
1936,Can anyone direct me to who can help please I bought an umbrella from the shop and only just realised it’s missing it sheath cover which l obviously want Who can I contact to having one sent to me Thanks #PokemonCenterLondon #pokemoncentrelondon
1937,Anyone know where I could get a cheap iPhone 4 5
1938,why is butter so extraordinary
1939,FREEDOM IS WITHIN YOU
1940,Domesticated still a little feral
1941,This thunder is making me so home sick for WI 🥺 Thunder storm were my favorite part of summer and i will never forget the beauty lighting arcing horizontally across the sky over Lake Michigan
1942,It’s very affirming that my therapist adores all the simile metaphor I use to describe the shit I’ve been through even if I don’t remember half of them 😂 it’s easier for me to understand thing that aren’t myself sometimes so it’s how I generate self empathy
1943,I don’t have time to think about ‘color’ or be sensitive That’s that’s literally white privilege Like you do you but acknowledge that your being able to do that is a privilege because aspect of your identity aren’t under constant cultural scrutiny and attack
1944,Haven't been on this twitter in forever
1945,Please keep my grandma in your prayer
1946,I'm seeing Niall tomorrow
1947,No more or le complex than any other aspect of evolution It's all trial and error natural selection
1948,Why do so many educationally subnormal Trump supporter really think Alaska is not part of the US
1949,You're swallowing Trump's rhetoric without proof There is ZERO evidence of anything illegal happening You're blindly following and gullible for believing Proof is always needed And the burden of proof is on the accuser Disappointed to see what you really are
1950,Teenage daughter and I learned how to play Cataan tonight So much fun thanks to Wil and it wa very easy to learn We look forward to playing again
1951,Republicans have nobody to blame but themselves They allowed this to happen
1952,What an asshat Every college professor I had went by Dr and absolutely none had a medical degree It is the privilege you earn by working tour butt off and completing your doctorate
1953,Watching all these important venue closing over time suck horribly but this one hurt Fuck #FabricReview
1954,Today's the day last to chance to sign to show support
1955,There's a guy busking with just 2 korg synths playing techno at picadilly circus wearing a cosmic bucket hat Excellent
1956,This Is Us is the best show ever I recommend 10 10
1957,Pls send me funny vine in my dm
1958,My mother is going to Bonnaroo today I love her
1959,It’s so weird to think about how I thought I wa grown in high school
1960,I inhaled a bug tonight and I am so freaked out I can’t handle this
1961,I forgot how much the notebook make me cry everytime Now I’m sitting here on a Friday night with puffy red eye and im super emotional
1962,I'm not sure exactly how on iPhones but I know my Android let's me back up my saved voice mail message on Google drive I can look into it for you for iPhones
1963,This is not just a black people issue this is a HUMAN RIGHTS issue Leslie Redmond President NAACP Minneapolis
1964,Someone stop me from making 700 different holiday dessert today when I'm literally living alone for 2 week
1965,I really feel bad for all the pup this time of year 🎇
1966,Happy first day of the month friend Don’t forget to change those furnace filter
1967,My hot water heater is no longer hot watering The Pilot light won’t light at all The furnace kick over so I’m getting gas in the house I tried to clean the thermocouple with no luck Do you have a favorite plumber I can call in the morning
1968,This review say most everything I think about Teeman's sloppily argued sexual biography of Gore Vidal
1969,I know these thing take time but I feel so bad that the cat hiss and growl every time they see each other I just want them to be friend
1970,Highway sign where they stretch the state shape to fit the number in make me irrationally angry
1971,well where were you mcu peep
1972,this sound about right fuck you kemp with your grimey as
1973,ERROR 404
1974,my short term memory ha gotten so shit lately but the silver lining is that every time i listen to my playlist i’ve had for month i still get that listening to a good song for the first time feeling
1975,if my emotion were a food they’d be peep just show me the slightest amount of warmth and i will simultaneously melt and be on the verge of exploding
1976,i heard marvins room again so naturally i just went ahead and made a whole breakup playlist
1977,i am so cute
1978,i want grilled cheese but i dont wanna be shittin and fartin
1979,i personally think that everybody should lick the hook side of velcro at least once in their life it feel so good
1980,City life can be rad and all but I really really miss being able to lay outside and watch the star at night
1981,I've gotten to the point where I take off my glass in Target to avoid buying thing I don't need
1982,Reporting live from the middle of nowhere Texas tumbleweed do exist
1983,Listening to other remix entry on previous contest I've entered and then being blindsided by the one never made public is never fun haha
1984,using loop building an idea on that loop and then deleting the loop ha been a fun little exercise recently
1985,House groove are wonderful to work in Both the hard stuff and the really mellow vibe Makes a good sense of rhythm even when the main drum are not a fit
1986,Cook them down with a bunch of olive oil or butter serve on nice toast with goat cheese or feta and a fried egg I'm told pancetta is also a nice addition
1987,There is also one apparent love triangle ish situation early on involving the main character just a head up that that's not the one you're looking for I think it's not a spoiler to say that it get resolved more traditionally though also satisfyingly
1988,Yeah I feel super out of whack emotionally sensorily when I'm starting to come down with something and that's basically what your body think is going on at the moment so check out Hopefully at least knowing what's happening make it easier to be gentle with yourself
1989,The new album by ha put me in a good mood #DISCO
1990,The Invisible Man wa pretty good liked it Excited scared to finally watch Deerskin the last movie I planned to see in a theater before covid killed that hope #HBOMax
1991,Bacon is the solution
1992,At least I'm used to this side effect from my infusion and I'm very grateful that I'm not experiencing any of that full body pain I had after my last infusion The IV steroid must be working And tomorrow is day one of a steroid pack
1993,When I tell yall I am SOOOOOO fed up with #MainStreetRenewal I mean that Thank GOD we're reaching the end of our lease
1994,Johnson &amp Johnson really be tryna kill you from the time you're a baby If they don't get you in childhood they'll try to kill you throughout your entire life Recalls left and right 😬🥴😂🤦🏽‍♀️
1995,Dads always know a bunch of obscure sport fact from the 80's
1996,The further we get from the year 2000 the more confused I am about the passage of time
1997,Day 1 of working from home I now have laptop burn on my leg
1998,Equalize early and often Why is this day shared with Dog day #WomensEqualityDay #NationalDogDay #ourfirstfedITM
1999,I am Lindt EXCELLENCE Take the Taste Challenge quiz &amp find out which Lindt Chocolate you are
2000,Thank you for your service and welcome back to the Land of the Free Bet you have some great story 🇺🇸
2001,Random third grader pointed at me with her whole class lined up look that’s the tallest girl in the world
2002,A nice thing about not sharing my office with anyone is that I can take a nap at work
2003,The usps stamp catalog is incredible
2004,I haven’t been to the roxy in a while obviously but DAMN I don’t remember it being this hot in here jesus get some AC
2005,in 2017 when the wreck opened for atl on ✨that✨ tour I knew they were just gonna get better and better and I have been So correct
2006,yooo ashton posted elijah on his story 🤩🤩🤩
2007,notion please add an annotation tool I love u so much but the run arounds I gotta do for annotation are insane 😭😭
2008,should I continue reading Tokyo revengers or vanitas no carte
2009,btw fat ppl realize when u comment omg such a glow up on someone’s video post where the only difference between the person before and after is that they lost weight 😐
